time_s,x_m,z_m,vx_mps,vz_mps,theta_deg,omega_deg_s,mass_kg,prop_remaining_kg,target_x_m,target_error_m,commanded_throttle,commanded_gimbal_deg,throttle,gimbal_deg,desired_theta_deg,desired_ax_mps2,desired_az_mps2,thrust_scale,navigation_rejection_count,estimated_x_m,estimated_z_m,estimated_vx_mps,estimated_vz_mps,estimated_theta_deg,estimated_omega_deg_s,x_estimation_error_m,z_estimation_error_m,vx_estimation_error_mps,vz_estimation_error_mps,theta_estimation_error_deg,ekf_nees,ekf_nis_gps,ekf_nis_radar,ekf_nis_attitude,ekf_estimated_bax_mps2,ekf_estimated_baz_mps2,ekf_estimated_bg_radps,ekf_true_bax_mps2,ekf_true_baz_mps2,ekf_true_bg_radps,ekf_sigma_x,ekf_x_inside_3sigma,ekf_sigma_z,ekf_z_inside_3sigma,ekf_sigma_vx,ekf_vx_inside_3sigma,ekf_sigma_vz,ekf_vz_inside_3sigma,ekf_sigma_theta,ekf_theta_inside_3sigma,ekf_sigma_bax,ekf_bax_inside_3sigma,ekf_sigma_baz,ekf_baz_inside_3sigma,ekf_sigma_bg,ekf_bg_inside_3sigma
0.0,18.0,720.0,-2.5,-58.0,1.0,0.0,25000.0,7000.0,0.0,18.0,0.4434020440929855,0.8708580811005399,0.0,0.0,2.3506303695855437,0.5532338693710437,3.670662317757861,1.0,0,18.983331168706897,719.974500946595,-2.6130082181129812,-58.03192686973455,1.0137494579513036,-0.0821658058798229,0.9833311687068971,-0.025499053405042105,-0.11300821811298123,-0.031926869734547836,0.013749457951314974,1.04914205589549,nan,0.3632272830645007,nan,0.0,0.0,0.0,-0.10443672085682888,0.05023556821465024,-0.0010530136606382782,1.5,1.0,0.3408444234096276,1.0,0.3,1.0,0.3,1.0,0.006,1.0,0.2,1.0,0.2,1.0,0.003,1.0
0.05,17.875055457234442,717.0880488871128,-2.4977788485991588,-58.47801135022078,1.0,0.0,25000.0,7000.0,0.0,17.875055457234442,0.4842551867156779,0.7452319398483712,0.0,0.0,2.1852618964117023,0.5616672497285421,4.912664519982606,1.0,0,18.85267256824408,717.0609688152302,-2.6133358044081403,-58.509358384951746,0.9545957646380092,-0.041433677195660636,0.9776171110096392,-0.027080071882551238,-0.11555695580898151,-0.03134703473096323,-0.04540423536197949,1.3395865741171142,nan,0.3632272830645007,0.029231734815641418,0.0,0.0,1.2428333325336717e-05,-0.10418945710867022,0.0498754380579148,-0.0010631850834476283,1.500075018957461,1.0,0.3411744179586764,1.0,0.3003747665176874,1.0,0.300374765917869,1.0,0.0014552997798663835,1.0,0.20000112499683598,1.0,0.20000112499683598,1.0,0.002999172535545624,1.0
0.1,17.750222401227113,714.1522021944118,-2.4955405319858777,-58.955822934509676,1.0,0.0,25000.0,7000.0,0.0,17.750222401227113,0.5273128669751037,0.3947575989567247,0.08211148964684917,0.29028602703351325,2.022652162046165,0.5660547451902354,6.221352535377276,1.0,0,18.72217059283785,713.7840829173904,-2.6067484597014867,-59.004050990717204,0.972407177600104,0.11083463181127805,0.9719481916107355,-0.36811927702137837,-0.11120792771560906,-0.04822805620752746,-0.027592822399884653,3.449775081311552,nan,2.017024860117786,0.042365150516278045,-1.0116544449421881e-05,0.0005802283148101594,-3.4069136483089196e-05,-0.10389071425802728,0.04987044306293192,-0.0010640481368341809,1.5003004074195059,1.0,0.2446699025296291,1.0,0.3010813882847892,1.0,0.30051610437521886,1.0,0.0010538378109026523,1.0,0.20000224986049456,1.0,0.20000183271250507,1.0,0.002990706122131126,1.0
0.15000000000000002,17.625556106580543,711.1955893213467,-2.4911091394600646,-59.30866611546153,1.0001994081978327,0.007968515620439173,24998.87171778154,6998.8717177815415,0.0,17.625556106580543,0.5591571341425465,-0.1744057248595072,0.15658254465959523,0.4419346646384659,1.9377623985706602,0.5750435499084063,7.189760673480564,1.0,0,18.591795663326746,710.8252584276845,-2.6082977874896,-59.34892365026014,1.0274988332227766,0.40912162775808686,0.9662395567462028,-0.3703308936621852,-0.11718864802953544,-0.04025753479861294,0.02729942502493145,3.538241858830027,nan,2.017024860117786,0.867072358656707,-1.011654335346183e-05,0.0005802282519520307,-0.00037880587122124734,-0.10354457331341356,0.049653265321178454,-0.0010587503056711674,1.5006770555474063,1.0,0.2460721093784726,1.0,0.30211757580557114,1.0,0.30155294639290214,1.0,0.0008863411740063537,1.0,0.20000337484467529,1.0,0.2000029576990322,1.0,0.00296775677071698,1.0
0.2,17.50116108568686,708.2241674998437,-2.48468969250784,-59.54818623199569,1.0011755755803005,0.03105554526982234,24996.720139462595,6996.720139462595,0.0,17.50116108568686,0.5766301293846896,0.818850363891661,0.22523630805135605,0.4262089760778855,1.8841301411192308,0.5766398879595596,7.7224585788492455,1.0,0,17.676016183029756,708.0261284968474,-2.4593269043000396,-59.49236786052443,1.0143624377120923,-0.20635038001074837,0.1748550973428955,-0.1980390029963246,0.025362788207800246,0.05581837147126123,0.01318686213178957,1.948012197971643,3.7345824035808337,0.0559597617573429,0.009591880930506917,-0.012989047773880307,-0.005520015036825935,-0.00033013327992078667,-0.10311816246869773,0.04893837982844826,-0.0010718621978714825,0.6708356252812647,1.0,0.19377933865970837,1.0,0.11158318822337203,1.0,0.11146767803809293,1.0,0.0008025526253159488,1.0,0.19849616331386805,1.0,0.19849228441299455,1.0,0.002925327439036537,1.0
0.25,17.377132969584682,705.2433813533869,-2.4764319162310833,-59.683242788572564,1.0035268987963735,0.06296609842632327,24993.625199614118,6993.625199614118,0.0,17.377132969584682,0.5927115855219972,0.5406877091813198,0.28707349806824317,0.22600407576542128,1.8598797092743367,0.5851541223761493,8.213378192442159,1.0,0,17.552996646584173,705.0486030057087,-2.4612798018497584,-59.60865354153243,1.045372973454694,-0.056187275442737106,0.1758636769994908,-0.19477834767815239,0.01515211438132491,0.07458924704013015,0.04184607465832453,2.948641589487266,3.7345824035808337,0.0559597617573429,1.7395157115119257,-0.01297444267756918,-0.005519939202444258,-0.0011349151329758129,-0.10349649550685351,0.04867747693706067,-0.0010850072775200619,0.6708954297855418,1.0,0.19415972224237357,1.0,0.1130602550769213,1.0,0.11294841549041124,1.0,0.0007606555738891455,1.0,0.19849729652491582,1.0,0.19849341795506928,1.0,0.0028610366401958264,1.0
0.3,17.253559454744707,702.2581948447901,-2.466503860272127,-59.72420296150449,1.0072087411442143,0.08428669288309297,24989.68056379452,6989.680563794522,0.0,17.253559454744707,0.6028323820853836,0.376536158148219,0.3406950964601777,0.4236195051408345,1.846443258669094,0.5909395174935214,8.52406130470943,1.0,0,17.43001648708958,702.1496017545918,-2.457810536973218,-59.641972091881165,1.029736248793202,0.044031937747588894,0.17645703234487442,-0.10859309019826924,0.00869332329890904,0.0822308696233236,0.02252750764898512,1.8052054843468868,3.7345824035808337,0.7578266472958044,0.5447282315296275,-0.01297679279554719,-0.005730793291054262,-0.0006224778723440134,-0.10395185289893098,0.04809709914558989,-0.0010743556362482506,0.6710026773706841,1.0,0.17014658870245986,1.0,0.11537584706002753,1.0,0.11510762564797711,1.0,0.0007416223116430372,1.0,0.19849842981645965,1.0,0.19849440376171743,1.0,0.002775570206521134,1.0
0.35,17.130519020611164,699.2730006082531,-2.4551056733139998,-59.683553027426704,1.0126181091449395,0.13204120885720397,24984.99912127161,6984.999121271609,0.0,17.130519020611164,0.6075710849325612,0.18490777818723017,0.38736481665681094,0.4626422398209963,1.8489431275667516,0.596504258984643,8.671642577464889,1.0,0,17.307209731040317,699.1686990074826,-2.4541359537871004,-59.59413771168191,1.0250911076764482,0.16255201984996168,0.17669071042915263,-0.10430160077055461,0.000969719526899393,0.08941531574479455,0.0124729985315067,1.7524597115102518,3.7345824035808337,0.7578266472958044,0.29196094846527215,-0.01298011891647419,-0.005730816376045694,-0.0002171802519981843,-0.10380004341955013,0.048215658953538146,-0.0010689299128571223,0.6711600677250966,1.0,0.1707910998011051,1.0,0.11848095791219941,1.0,0.11821977797043601,1.0,0.0007345571981830084,1.0,0.19849956322800216,1.0,0.19849553729169298,1.0,0.002672354650878907,1.0
0.39999999999999997,17.00808127825429,696.2916151083997,-2.442390880219682,-59.571853855841034,1.0207000448949497,0.191178243490102,24979.676396807947,6979.676396807947,0.0,17.00808127825429,0.612367722737367,0.5221024048673234,0.42726621766210215,0.4339402125967372,1.916715298267712,0.6234006494354294,8.821521369550316,1.0,0,17.193208725173633,696.2152047334041,-2.492944594271099,-59.54823480160545,1.020210427496399,-0.017590742995818965,0.18512744691934202,-0.07641037499558934,-0.050553714051416954,0.023619054235581416,-0.000489617398562388,1.2822796515414077,1.2634538155767756,0.6717274755264626,0.02655075177442844,0.013342947812321725,0.04042068779016631,-8.607450974507235e-05,-0.10350874514176416,0.04744798781055078,-0.0010662427134310413,0.5001192255360865,1.0,0.1502177608605612,1.0,0.08564537477859574,1.0,0.08545447042210269,1.0,0.000732862918373073,1.0,0.19148556957108345,1.0,0.19145872304870742,1.0,0.0025565567662273803,1.0
0.44999999999999996,16.88630860940591,693.3173337875778,-2.4284959531410273,-59.39938570983952,1.031781995194799,0.25204009984418696,24973.805392908125,6973.805392908125,0.0,16.88630860940591,0.6093423910090119,-0.08351369281705438,0.4606560078973723,0.3509294011269015,1.9695782632000507,0.6375850259487599,8.733634121596555,1.0,0,17.068245660257407,693.241797274153,-2.505455728159505,-59.388067736313346,1.0567824011945655,0.354879646618225,0.18193705085149858,-0.07553651342482226,-0.07695977501847784,0.011317973526175251,0.025000405999762755,1.9869660899727002,1.2634538155767756,0.6717274755264626,0.6415449884296891,0.013459482134881762,0.04042193178822996,-0.000712936288550985,-0.10334232907726408,0.047361905051085076,-0.0010518079676392301,0.5002256983553826,1.0,0.15069590441255423,1.0,0.0893973911219032,1.0,0.08921932899337394,1.0,0.0007327825593943606,1.0,0.19148668931788654,1.0,0.19145989822683354,1.0,0.002433883290394882,1.0
